Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
24.08.18,Bayern Munich,Hoffenheim,3,1,H,1.2,7.5,12
25.08.18,Fortuna Dusseldorf,Augsburg,1,2,A,2.37,3.25,3
25.08.18,Freiburg,Ein Frankfurt,0,2,A,2.3,3.3,3.25
25.08.18,Hertha,Nurnberg,1,0,H,2.04,3.4,3.75
25.08.18,M'gladbach,Leverkusen,2,0,H,2.8,3.5,2.45
25.08.18,Werder Bremen,Hannover,1,1,D,1.85,3.6,4
25.08.18,Wolfsburg,Schalke 04,2,1,H,3.1,3.3,2.37
26.08.18,Dortmund,RB Leipzig,4,1,H,1.72,3.8,4.75
26.08.18,Mainz,Stuttgart,1,0,H,2.7,3.25,2.7
31.08.18,Hannover,Dortmund,0,0,D,5.5,4.33,1.57
01.09.18,Augsburg,M'gladbach,1,1,D,2.62,3.4,2.7
01.09.18,Ein Frankfurt,Werder Bremen,1,2,A,2.4,3.5,2.9
01.09.18,Hoffenheim,Freiburg,3,1,H,1.55,4,6.5
01.09.18,Leverkusen,Wolfsburg,1,3,A,1.61,4.33,5
01.09.18,Nurnberg,Mainz,1,1,D,2.37,3.3,3.1
01.09.18,Stuttgart,Bayern Munich,0,3,A,11,5.5,1.28
02.09.18,RB Leipzig,Fortuna Dusseldorf,1,1,D,1.4,4.75,8
02.09.18,Schalke 04,Hertha,0,2,A,1.75,3.6,5
14.09.18,Dortmund,Ein Frankfurt,3,1,H,1.4,5,7.5
15.09.18,Bayern Munich,Leverkusen,3,1,H,1.2,7,13
15.09.18,Fortuna Dusseldorf,Hoffenheim,2,1,H,4,3.6,1.9
15.09.18,Mainz,Augsburg,2,1,H,2.54,3.25,2.87
15.09.18,M'gladbach,Schalke 04,2,1,H,2.37,3.4,3
15.09.18,RB Leipzig,Hannover,3,2,H,1.53,4.33,5.5
15.09.18,Wolfsburg,Hertha,2,2,D,2.1,3.25,3.75
16.09.18,Freiburg,Stuttgart,3,3,D,2.62,3.25,2.75
16.09.18,Werder Bremen,Nurnberg,1,1,D,1.66,4,5
21.09.18,Stuttgart,Fortuna Dusseldorf,0,0,D,1.72,3.6,5.25
22.09.18,Augsburg,Werder Bremen,2,3,A,2.5,3.25,2.9
22.09.18,Hertha,M'gladbach,4,2,H,2.37,3.3,3.1
22.09.18,Hoffenheim,Dortmund,1,1,D,2.62,3.75,2.4
22.09.18,Nurnberg,Hannover,2,0,H,2.5,3.25,2.9
22.09.18,Schalke 04,Bayern Munich,0,2,A,8,4.5,1.4
22.09.18,Wolfsburg,Freiburg,1,3,A,1.72,3.6,5.25
23.09.18,Ein Frankfurt,RB Leipzig,1,1,D,2.9,3.4,2.35
23.09.18,Leverkusen,Mainz,1,0,H,1.57,4.33,5.5
25.09.18,Bayern Munich,Augsburg,1,1,D,1.1,10,23
25.09.18,Freiburg,Schalke 04,1,0,H,3.5,3.2,2.14
